"ngram1","ngram2","pubyear","count"
"7686","Vascular tissue","Retail loss prevention",2011,1
"7687","Wind power","Flow velocity",2012,1
"7688","Wind power","Induction motor",2014,1
"7689","Turbine blade","Surface roughness",2015,1
"7690","Industrial applicability","Data analysis",2011,1
"7691","Nonwoven fabric","Cryogenics",2011,1
"7692","Motive power","Electrical energy",2014,1
"7693","Wind power","Electric power transmission",2012,1
"7694","Electrical energy","Ammonia production",2014,1
"7695","Plant efficiency","Boundary layer",2010,1
"7696","Atmosphere of Earth","Acoustic resonance",2011,1
"7697","Wind direction","Solar irradiance",2009,1
"7698","Solar thermal energy","Anaerobic digestion",2012,1
"7699","Lorentz force","Centrifugal force",2015,1
"7700","Power electronics","Fuel cell",2011,1
"7701","Static VAR compensator","Electric power system",2011,1
"7702","Marine propulsion","Electrical energy",2014,1
"7703","Wind farm","Solar power",2014,1
"7704","Power rating","Air mass",2011,1
"7705","Wind power","Coated paper",2006,1
"7706","Clostridium difficile infection","Bacillus cereus",2010,1
"7707","Heavy oil","Fossil-fuel power station",2013,1
"7708","Control operation","Active Power",2009,1
"7709","Steam turbine","Sensible heat",2011,1
"7710","Solar irradiance","Limit superior and limit inferior",2012,1
"7711","Rotational energy","Electric machine",2012,1
"7712","Centrifugal force","Angular velocity",2011,1
"7713","Control logic","Block diagram",2011,1
"7714","Energy transformation","Energy conversion efficiency",2014,1
"7715","Thermal expansion","Amorphous carbon",2011,1
"7716","Vanadium redox battery","Energy storage",2011,1
"7717","Wind machine","Pole piece",2015,1
"7718","Sheet metal","Core (optical fiber)",2012,1
"7719","Statistics","Artificial neural network",2009,1
"7720","Wind farm","Motive power",2011,1
"7721","Natural fiber","Basalt fiber",2013,1
"7722","Reaction (physics)","Inter Alia",2013,1
"7723","Wind farm","Parameter (computer programming)",2012,1
"7724","Mass excess","Electricity generation",2006,1
"7725","Pulp and paper industry","Drinking water",2008,1
"7726","Well test","Dental notation",2013,1
"7727","Wind power","Process architecture",2011,1
"7728","Structural element","Repeat unit",2015,1
"7729","Data processing","Analog-to-digital converter",2011,1
"7730","Structural element","Stress (mechanics)",2014,1
"7731","Turbine blade","Thermal energy",2011,1
"7732","Microbial fuel cell","Carbon dioxide in Earth's atmosphere",2011,1
"7733","Wind farm","Solar panel",2012,1
"7734","Thermal energy","Kinetic energy",2014,1
"7735","Electric power system","Beaufort scale",2012,1
"7736","Electric power system","Buck–boost converter",2013,1
"7737","Electricity generation","Acoustic resonance",2011,1
"7738","Type Control","Telecommunications network",2009,1
"7739","Energy management system","Control System",2013,1
"7740","Rotational speed","Capital cost",2008,1
"7741","Liquid","Ammonium phosphate",2014,1
"7742","Work Time","Working time",2010,1
"7743","Wind power","Storage tank",2014,1
"7744","Vertical orientation","Hybrid system",2010,1
"7745","Fixed position assembly","Drag (physics)",2010,1
"7746","Face","Climate change",2011,1
"7747","Electric Connection","Electrical load",2007,1
"7748","Vertical orientation","Heat pipe",2014,1
"7749","Transmission system","Energy development",2011,1
"7750","Water","Hydrogen production",2011,1
"7751","Turbine blade","Laminar flow",2009,1
"7752","Temperature control","Reference range",2011,1
"7753","Electric power conversion","Control System",2010,1
"7754","Infective endocarditis","Gram-positive bacteria",2010,1
"7755","Wind farm","Electrical connection",2011,1
"7756","Mechanical energy","Direct action",2014,1
"7757","Injection moulding","Fiber bundle",2014,1
"7758","Transmission (medicine)","Energy transformation",2014,1
"7759","Transmission line","Abundant number",2011,1
"7760","Dielectric heating","Compression molding",2011,1
"7761","Wind farm","Frequency changer",2006,1
"7762","Stress management","Reduction (Sweden)",2011,1
"7763","Wind power","Primary direction",2010,1
"7764","Wind farm","Supervisory control",2010,1
"7765","Flight control surfaces","Electrical connection",2011,1
"7766","Low voltage","Energy supply",2011,1
"7767","Photovoltaic system","Packaging and labeling",2011,1
"7768","Synchronous motor","Motor control",2011,1
"7769","Generation Loss","Electric generator",2011,1
"7770","Petroleum reservoir","Control System",2012,1
"7771","Noise (electronics)","Colors of noise",2013,1
"7772","Wind wave","Efficient energy use",2008,1
"7773","Hydrogen sulfide","Ammonium carbonate",2014,1
"7774","Melody","Electricity generation",2015,1
"7775","Water","Horizontal and vertical",2011,1
"7776","Wound rotor motor","Electric power conversion",2009,1
"7777","Water supply","Energy consumption",2014,1
"7778","Photovoltaic system","Electric power transmission",2015,1
"7779","Turbine blade","Body of water",2011,1
"7780","Wind speed","Time complexity",2007,1
"7781","Induction generator","Electric generator",2011,1
"7782","Relative humidity","Castor oil",2012,1
"7783","Turbine blade","Oxide",2014,1
"7784","Emergency management","Electrical contacts",2011,1
"7785","Wind farm","Photovoltaic power station",2015,1
"7786","Time Lapse","Cloud physics",2010,1
"7787","Stress concentration","Shear stress",2011,1
"7788","Electrical energy","Bernoulli's principle",2010,1
"7789","Induction generator","Asynchronous system",2009,1
"7790","Electrical load","Electrical energy",2014,1
"7791","Logic gate","Dynamic loading",2012,1
"7792","Single-mode optical fiber","Geography",2011,1
"7793","Steam turbine","Helicopter rotor",2007,1
"7794","Wind tunnel","Neutron source",2010,1
"7795","Wind speed","Exit Speed",2010,1
"7796","Windcatcher","Beaufort scale",2011,1
"7797","Fuzzy logic","Block diagram",2011,1
"7798","Wind power","Water level",2009,1
"7799","Diethyl ether","Carbon dioxide",2013,1
"7800","Skin infection","Bacillus cereus",2010,1
"7801","Steady state","Energy storage",2013,1
"7802","Hull (watercraft)","Enterococcus faecium",2010,1
"7803","Pneumatocyst","Electrical energy",2013,1
"7804","Temperature measurement","Coolant",2008,1
"7805","Flight control surfaces","Current (fluid)",2013,1
"7806","Potential energy","Beaufort scale",2010,1
"7807","Plant Simulation","Condition monitoring",2013,1
"7808","Wind power","Power diagram",2015,1
"7809","Wave farm","Mechanical energy",2009,1
"7810","Structural element","Mass ratio",2011,1
"7811","Low-pressure area","Energy consumption",2014,1
"7812","Wind power","Natural convection",2011,1
"7813","Low frequency","High frequency",2015,1
"7814","Ring structure","Fluid dynamics",2012,1
"7815","Natural gas storage","Hydroelectricity",2010,1
"7816","Rule-based system","False alarm",2011,1
"7817","Turbine blade","Organic matter",2009,1
"7818","Wind power","Pollution",2015,1
"7819","Wind farm","Limit superior and limit inferior",2012,1
"7820","Weather station","Energy density",2011,1
"7821","Ammonium sulfate","Ammonium carbamate",2014,1
"7822","Symbiosis","Data storage device",2011,1
"7823","Renewable energy","Final product",2014,1
"7824","Osmotic power","Kinetic energy",2011,1
"7825","Strength of materials","Polar regions of Earth",2011,1
"7826","High pressure","Dynamic pressure",2011,1
"7827","DC motor","AC power",2008,1
"7828","System time","DC motor",2008,1
"7829","Mass excess","Electricity generation",2007,1
"7830","Solar irradiance","Energy transformation",2011,1
"7831","Motor vehicle","Hybrid vehicle",2015,1
"7832","Wind farm","Turbine blade",2012,1
"7833","Transducer","Dissipation",2014,1
"7834","Sensible heat","Electricity generation",2011,1
"7835","Monomial","Mobile object",2013,1
"7836","Methyl methacrylate","Acetone cyanohydrin",2015,1
"7837","Rankine cycle","Heat exchanger",2013,1
"7838","Process flow diagram","Carbon monoxide",2011,1
"7839","Electrical energy","Base load power plant",2007,1
"7840","Reference range","Physical model",2014,1
"7841","Wind power","Angle of attack",2009,1
"7842","Wind farm","Fossil fuel",2011,1
"7843","Statistical significance","ISO 6709",2015,1
"7844","Temperature measurement","Indicator value",2012,1
"7845","Optimization problem","Fatigue (material)",2014,1
"7846","Unit process","Brake force",2011,1
"7847","Wind speed","Electrical energy",2013,1
"7848","Wind power","Angle of rotation",2011,1
"7849","Tropics","Cryogenics",2011,1
"7850","Preventive maintenance","Duct (flow)",2013,1
"7851","Gram-positive bacteria","Bacillus cereus",2010,1
"7852","Partial pressure","Electrolysis of water",2014,1
"7853","Epicyclic gearing","Electrical energy",2015,1
"7854","Fuel cell","Electric power",2014,1
"7855","Wind power","Total internal reflection",2009,1
"7856","Turbine blade","Plane of rotation",2014,1
"7857","Liquid","Control valves",2011,1
"7858","Hinge line","Curvature",2012,1
"7859","Wind chill","Horizontal plane",2012,1
"7860","Magnetic circuit","Circuit switching",2013,1
"7861","Tip-speed ratio","Noise (electronics)",2010,1
"7862","Thermal management (electronics)","Field coil",2007,1
"7863","Nylon","Basalt fiber",2013,1
"7864","Kinetic energy","Brake force",2011,1
"7865","Signaling (telecommunications)","Driver circuit",2011,1
"7866","Partial discharge","High voltage",2014,1
"7867","Passivity (engineering)","Magnetic core",2015,1
"7868","Mechanical energy","Generator function",2011,1
"7869","Centrifugal pump","Ball mill",2014,1
"7870","Lift coefficient","Leading edge",2010,1
"7871","Variable speed wind turbine","Electric power system",2011,1
"7872","Solar cell","Power (physics)",2011,1
"7873","Rotational speed","Angular displacement",2008,1
"7874","Wind tunnel","Momentum transfer",2010,1
"7875","Pollution","Cutaneous condition",2011,1
"7876","Electrical contacts","Current collector",2012,1
"7877","Turbine","Rotational speed",2009,1
"7878","Total organic carbon","Carbonate minerals",2011,1
"7879","Rotational speed","Electric power transmission",2013,1
"7880","Glutaric acid","Adipic acid",2008,1
"7881","Start point (yeast)","Lift coefficient",2009,1
"7882","Wind power","Coated paper",2007,1
"7883","Power engineering","Electric machine",2007,1
"7884","Fire resistance","Antimicrobial resistance",2015,1
"7885","Wind direction","Noise (electronics)",2011,1
"7886","Offshore wind power","Damage-associated molecular pattern",2012,1
"7887","Thermal conduction","Solar irradiance",2007,1
"7888","Time point","Average",2013,1
"7889","Pi system","Control System",2011,1
"7890","Wind direction","Turbine blade",2012,1
"7891","Lithium carbonate","Barium carbonate",2013,1
"7892","Turbine blade","Air mass",2011,1
"7893","Wind gradient","Optimal control",2011,1
"7894","Heat exchanger","Block diagram",2011,1
"7895","Physical plant","Energy storage",2014,1
"7896","Solar cell","Renewable energy",2013,1
"7897","Food","Corynebacterium diphtheriae",2010,1
"7898","Solar cell","Galvanic isolation",2014,1
"7899","Hydrogen production","DC motor",2011,1
"7900","Water turbine","Synchronous motor",2012,1
"7901","Proportionality (mathematics)","Least common multiple",2011,1
"7902","Reference range","Cost overrun",2011,1
"7903","Wind speed","Thermal insulation",2011,1
"7904","Sandwich panel","Packaging and labeling",2011,1
"7905","Electricity generation","DC motor",2011,1
"7906","Stand-alone power system","Internal combustion engine",2008,1
"7907","Fast ion conductor","Ammonium hydroxide",2012,1
"7908","Lift (force)","Energy conversion efficiency",2011,1
"7909","Electric power quality","Control System",2008,1
"7910","Wavenumber","Electric arc",2015,1
"7911","Inner core","Electrical contacts",2012,1
"7912","Motion system","Electrical energy",2011,1
"7913","Electrical energy","Automotive battery",2014,1
"7914","Threshold voltage","Photovoltaic system",2014,1
"7915","Permanent magnet motor","Electrical energy",2010,1
"7916","Wind power","Synchronous motor",2014,1
"7917","Sunlight","Plane of rotation",2007,1
"7918","Respiratory tract infection","Enterococcus faecium",2010,1
"7919","Volt","Nonwoven fabric",2011,1
"7920","Dynamic pressure","Battery (electricity)",2012,1
"7921","Wind power","Nominal power (radio broadcasting)",2009,1
"7922","Melting point","Helicopter rotor",2010,1
"7923","Wind power","Glass transition",2015,1
"7924","Disc brake","Angle",2013,1
"7925","Solar cell","Flow control",2014,1
"7926","Solar panel","Electricity generation",2011,1
"7927","Electrical energy","Dental notation",2014,1
"7928","Wind farm","Energy transformation",2011,1
"7929","Feller buncher","Control System",2014,1
"7930","Solar cell","Hydroelectricity",2015,1
"7931","Mechanical energy","Magnetic flux",2011,1
"7932","Surface area","Compressed hydrogen",2011,1
"7933","Windcatcher","Peak power output",2015,1
"7934","View Point","Light",2011,1
"7935","Point cloud","High- and low-level",2011,1
"7936","Wind tunnel","HVAC",2011,1
"7937","Plant System","Earthing system",2008,1
"7938","Temperature","C-value",2011,1
"7939","Mechanical energy","Linear alternator",2009,1
"7940","Inner core","Impact (mechanics)",2014,1
"7941","Waste heat","Alternating current",2008,1
"7942","Corynebacterium diphtheriae","Clostridium difficile infection",2010,1
"7943","Tide","Offshore wind power",2011,1
"7944","Frequency changer","Electric power system",2014,1
"7945","Numerical weather prediction","Graphic communication",2011,1
"7946","Covox Speech Thing","Beaufort scale",2013,1
"7947","Volt","Low voltage",2011,1
"7948","Euler angles","Control System",2009,1
"7949","Wind tunnel","Accepted and experimental value",2013,1
"7950","Electric power distribution","Electrical network",2011,1
"7951","Wave","Tide",2010,1
"7952","Energy consumption","Anaerobic digestion",2012,1
"7953","Tap changer","Proportionality (mathematics)",2011,1
"7954","Wave power","Electric power transmission",2012,1
"7955","Wind direction","Absolute rotation",2008,1
"7956","Industry","Digital electronics",2013,1
"7957","Control System","Circuit diagram",2015,1
"7958","Practical reason","Energy price",2011,1
"7959","Buck converter","Boost converter",2010,1
"7960","Lorentz force","Curvature",2014,1
"7961","Transformer types","Single-phase electric power",2011,1
"7962","Wind farm","Hydraulics",2011,1
"7963","Wind power","Condition monitoring",2010,1
"7964","Signaling (telecommunications)","PID controller",2011,1
"7965","Plant cell","Endless (Frank Ocean album)",2011,1
"7966","Rotational speed","Drive wheel",2014,1
"7967","Raw water","Drinking water",2010,1
"7968","Rotational speed","Laminar flow",2011,1
"7969","Motor controller","Half bridge",2014,1
"7970","Sunlight","Geothermal heating",2013,1
"7971","Wind power","Plant efficiency",2009,1
"7972","Stress (mechanics)","Strength of materials",2013,1
"7973","Electric energy consumption","Electrical load",2013,1
"7974","NodeB","Liquid nitrogen",2011,1
"7975","Vertical plane","Electrical connection",2015,1
"7976","Wind farm","Internal combustion engine",2008,1
"7977","Transformer types","Electric generator",2011,1
"7978","Wave height","Periodic function",2014,1
"7979","Flight control surfaces","Annulus (mathematics)",2010,1
"7980","Operating point","Angular velocity",2011,1
"7981","Energy management system","Electric power transmission",2013,1
"7982","Signaling (telecommunications)","Electrical energy",2011,1
"7983","Castor oil","Adhesive bonding",2014,1
"7984","Vertical orientation","Solar cell",2010,1
"7985","Wound rotor motor","Line voltage",2009,1
"7986","Solar cell","Anti-roll bar",2011,1
"7987","Sugar refinery","Pulp and paper industry",2008,1
"7988","Water purification","Separation process",2013,1
"7989","Hydraulic head","Electrolysis of water",2014,1
"7990","Signaling (telecommunications)","Occupational safety and health",2008,1
"7991","Transmission line","Thermoelectric power",2012,1
"7992","Wind speed","Angular distance",2011,1
"7993","Wind speed","Parity (mathematics)",2011,1
"7994","Turbine blade","Energy development",2011,1
"7995","Wind speed","Angle of attack",2012,1
"7996","Turbine blade","Active Power",2012,1
"7997","Pressure measurement","Liquid",2014,1
"7998","Wind farm","Electric power system",2012,1
"7999","Smart grid","1 (number)",2011,1
"8000","Electric machine","Control System",2015,1
"8001","Support surface","Leading edge",2013,1
"8002","Magnetic bearing","Friction loss",2014,1
"8003","Three-phase electric power","Mumbai Police Detection Unit",2014,1
"8004","Water supply","Solar panel",2015,1
"8005","Tidal power","Photovoltaic system",2011,1
"8006","Leading edge","Composite material",2011,1
"8007","Tidal power","Electrical energy",2011,1
"8008","Shikimic acid","Acetic acid",2011,1
"8009","Power module","Energy conservation",2011,1
"8010","Units of measurement","Control System",2011,1
"8011","Temperature control","Electric heating",2011,1
"8012","Wind speed","Stress (mechanics)",2011,1
"8013","Electric energy consumption","DC motor",2008,1
"8014","Oil reserves","Carbon monoxide",2011,1
"8015","Machine tool","Industrial robot",2013,1
"8016","Room temperature","Renewable fuels",2011,1
"8017","Fiber Bragg grating","Core (optical fiber)",2015,1
"8018","Functional group","Coconut",2011,1
"8019","Transmission system","Electric power transmission",2010,1
"8020","Layering","Kinetic energy",2014,1
"8021","Fuel gas","Combustion chamber",2011,1
"8022","Wind farm","Anchor point",2012,1
"8023","Electrical energy","Burnup",2010,1
"8024","Power engineering","Fluid dynamics",2007,1
"8025","Hydropower","Electrical energy",2008,1
"8026","Flight control surfaces","Absolute rotation",2008,1
"8027","Fluid limit","Computational fluid dynamics",2014,1
"8028","Nylon","Glass fiber",2013,1
"8029","Wind power","Frequency drift",2013,1
"8030","Turbine blade","Control System",2010,1
"8031","Fuel cell","Diesel fuel",2011,1
"8032","Electromotive force","Electricity generation",2013,1
"8033","Wind farm","Graphic communication",2012,1
"8034","Synchronous motor","Control unit",2011,1
"8035","Weight distribution","Composite material",2015,1
"8036","Friction","Angular acceleration",2013,1
"8037","Venturi effect","Dynamic pressure",2015,1
"8038","Natural rubber","Light",2011,1
"8039","Control System","Block diagram",2008,1
"8040","Wind direction","Seasonality",2011,1
"8041","Magnetic flux","Lorentz force",2011,1
"8042","Thermometer","Rolling (metalworking)",2011,1
"8043","Wind power","Tidal power",2012,1
"8044","Primary field","Electromotive force",2014,1
"8045","Wind power","Start point (yeast)",2011,1
"8046","Rotational symmetry","Governor (device)",2014,1
"8047","Wind direction","Failure cause",2011,1
"8048","Renewable energy","Gas engine",2013,1
"8049","Electric power system","Beaufort scale",2011,1
"8050","Rubber mat","Friction",2013,1
"8051","Wind direction","Euler angles",2014,1
"8052","Ammonium sulfide","Ammonium chloride",2014,1
"8053","Wind power","Pressure measurement",2013,1
"8054","Renewable energy","Geographic coordinate system",2011,1
"8055","Wind power","Flight control surfaces",2009,1
"8056","Fuel cell","Carbon dioxide",2007,1
"8057","Flight control surfaces","Communications system",2013,1
"8058","Fatigue (material)","Cost reduction",2011,1
"8059","Motor vehicle","Electric power transmission",2012,1
"8060","Fuel cell","Energy development",2015,1
"8061","Heat pump","Angle of rotation",2008,1
"8062","Spring (device)","Centrifugal force",2007,1
"8063","Water turbine","Storage tank",2011,1
"8064","Kinetic energy","Frequency changer",2013,1
"8065","Surface (topology)","Linear form",2011,1
"8066","Alternator","Air traffic controller",2013,1
"8067","Wind farm","Physical plant",2007,1
"8068","Sheet metal","Core (optical fiber)",2011,1
"8069","Turbine blade","Load balancing (computing)",2007,1
"8070","Thin film","Polyethylene terephthalate",2010,1
"8071","Supervisory control","Central Unit",2011,1
"8072","Wind power","Hydraulic head",2014,1
"8073","Electricity generation","Combinatoriality",2009,1
"8074","Wind direction","Fixed position assembly",2010,1
"8075","Weld quality assurance","Ultrasonic testing",2014,1
"8076","Structural integrity and failure","Moment of inertia",2014,1
"8077","System model","Cost function",2014,1
"8078","Power-to-weight ratio","Current collector",2013,1
"8079","Signal strength in telecommunications","Harmonic oscillator",2010,1
"8080","Ocean thermal energy conversion","Ocean current",2011,1
"8081","Synchronous motor","Alternator",2014,1
"8082","Phase angle","Control logic",2011,1
"8083","Offshore wind power","Electricity generation",2011,1
"8084","Low voltage","Electric power quality",2015,1
"8085","Wind power","Load (computing)",2006,1
"8086","High-temperature electrolysis","Electricity generation",2010,1
"8087","System time","Electric power transmission",2007,1
"8088","Yaw (rotation)","Present",2010,1
"8089","Vehicle","Rolling stock",2009,1
"8090","Priority Matrix","Hierarchical database model",2013,1
"8091","Low voltage","Low-pressure area",2006,1
"8092","Sampling (signal processing)","Ground and neutral",2009,1
"8093","Wind power","Vector control (motor)",2015,1
"8094","Computer data storage","Carbon dioxide",2006,1
"8095","Hydropower","Environmental issue",2011,1
"8096","Natural environment","Health",2011,1
"8097","Block diagram","Beaufort scale",2011,1
"8098","Water vapor","Porous medium",2011,1
"8099","Heat Generation","Concentrated solar power",2011,1
"8100","Solar cell","Signal processing",2011,1
"8101","Specific performance","AC power",2014,1
"8102","Steel","Electricity generation",2014,1
"8103","Tap water","Distilled water",2011,1
"8104","Wind direction","Lift (force)",2011,1
"8105","Energy development","Cost of goods sold",2014,1
"8106","Heat-transfer fluid","Electricity generation",2013,1
"8107","Synchronous motor","Electric power transmission",2008,1
"8108","Vanadium redox battery","Load (computing)",2007,1
"8109","Flight control surfaces","Failure cause",2011,1
"8110","Wood–Ljungdahl pathway","Sewage sludge",2011,1
"8111","Electricity generation","Chemical energy",2011,1
"8112","Energy storage device","Battery (electricity)",2015,1
"8113","Rotational speed","Ice",2011,1
"8114","Wind power","Industrial robot",2012,1
"8115","Wind direction","Foamcore",2011,1
"8116","Vertical Force","Surface force",2011,1
"8117","Transducer","Energy consumption",2014,1
"8118","Ring structure","Fluid dynamics",2011,1
"8119","Transformer","Energy storage device",2011,1
"8120","Wind power","Offshore construction",2011,1
"8121","Liquid fuel","Heat exchanger",2008,1
"8122","Energy storage","Energy homeostasis",2013,1
"8123","Mesh (scale)","Cryogenics",2014,1
"8124","Transmission (medicine)","Direct Contact",2015,1
"8125","Tidal power","Axial Turbine Stages",2013,1
"8126","Oxalic acid","Adipic acid",2007,1
"8127","Surface (topology)","Lorentz force",2015,1
"8128","Glass fiber","Artificial stone",2006,1
"8129","Oxocarbon","Organic matter",2011,1
"8130","Idoneal number","Electric power conversion",2011,1
"8131","Wind speed","Euler angles",2009,1
"8132","Systems design","Construction",2014,1
"8133","Electric machine","Electric generator",2013,1
"8134","Systems management","Electricity generation",2009,1
"8135","Wind speed","Ball bearing",2011,1
"8136","Wind direction","Parameter (computer programming)",2011,1
"8137","Multiple (mathematics)","Electric power conversion",2012,1
"8138","Tide","Rotational energy",2011,1
"8139","Wind engineering","Structural integrity and failure",2015,1
"8140","Wind power","Urban area",2008,1
"8141","Electromotive force","Algebraic number field",2014,1
"8142","Power curve","Control System",2011,1
"8143","Mechanical impedance","Electric generator",2013,1
"8144","Energy transformation","Aircraft flight control system",2008,1
"8145","Structural element","Plant Simulation",2013,1
"8146","Energy development","Electricity generation",2014,1
"8147","Induction generator","Electric generator",2012,1
"8148","Direct current","Diesel generator",2011,1
"8149","Electrical wiring","Altitude",2008,1
"8150","Hydraulics","Brake force",2015,1
"8151","Wind farm","Water",2011,1
"8152","Wind speed","Vortex generator",2009,1
"8153","Power function","Measuring instrument",2010,1
"8154","Lithium (medication)","Dimethyl carbonate",2013,1
"8155","Magnetic core","Coolant",2014,1
"8156","Mobile phone","Lithium battery",2011,1
"8157","Condition monitoring","Computer data storage",2013,1
"8158","Control System","Alternative model",2013,1
"8159","Wind power","Image stabilization",2013,1
"8160","Pole Position (video game)","Field coil",2008,1
"8161","Optical fiber","Fiber optic sensor",2010,1
"8162","Face","Energy price",2011,1
"8163","Photovoltaic system","Packaging and labeling",2012,1
"8164","Photovoltaic system","Fossil-fuel power station",2011,1
"8165","Spring system","Channel (communications)",2015,1
"8166","Offshore wind power","Cost of goods sold",2011,1
"8167","Electric generator","Biomass heating system",2011,1
"8168","Helicopter rotor","Contact area",2011,1
"8169","Geographical distance","Electricity generation",2011,1
"8170","Statistics","Control volume",2013,1
"8171","Bearing (mechanical)","Alternator",2013,1
"8172","Wind direction","Energy consumption",2008,1
"8173","Structural Health Monitoring","Pressure",2013,1
"8174","Solar cell","Energy transformation",2011,1
"8175","Wind power","Load (computing)",2007,1
"8176","Cross-link","Cerium(IV) oxide",2011,1
"8177","Orientation (geometry)","Angle of attack",2010,1
"8178","Thermal power station","Idoneal number",2011,1
"8179","Ultrasonic testing","Certified reference materials",2014,1
"8180","Geothermal heating","Fuel cell",2011,1
"8181","Vanadium redox battery","Load (computing)",2006,1
"8182","Electric machine","Differential (mechanical device)",2010,1
"8183","Wind power","ISO 6709",2014,1
"8184","Turbine blade","Pressure",2015,1
"8185","Hinge line","Curvature",2011,1
"8186","Sunlight","Physical quantity",2009,1
"8187","Surface energy","Organic matter",2010,1
"8188","Water–electrolyte imbalance","Electrochemistry",2011,1
"8189","Motor vehicle","Drag (physics)",2013,1
"8190","Electrical energy","Automation",2011,1
"8191","Soil structure","Energy density",2011,1
"8192","Ammonium phosphate","Ammonium carbamate",2014,1
"8193","Waterproofing","Organic matter",2010,1
"8194","Start point (yeast)","Arc length",2009,1
"8195","Room temperature","Neutralization (chemistry)",2011,1
"8196","Wave","Transmission system",2011,1
"8197","Windcatcher","Wave",2012,1
"8198","Wind engineering","Thermal equilibrium",2014,1
"8199","Synchronous motor","Lateral area",2010,1
"8200","Pitch control","Angle of attack",2007,1
"8201","Structural engineering","Rotational energy",2009,1
"8202","Cost reduction","Absolute value",2011,1
"8203","Sunlight","Energy charge",2011,1
"8204","Wind engineering","Turbine blade",2014,1
"8205","Water turbine","Block diagram",2011,1
"8206","Magnetic flux","Angular velocity",2012,1
"8207","Energy transformation","Alternator",2013,1
"8208","Load management","Cooling capacity",2015,1
"8209","Pressure gradient","Electricity generation",2011,1
"8210","Thermal insulation","Foamcore",2013,1
"8211","Wind speed","ISO 6709",2015,1
"8212","Zinc dithiophosphate","Organophosphate",2011,1
"8213","Carbon monoxide","Barium oxide",2013,1
"8214","Preventive healthcare","Abnormality (behavior)",2011,1
"8215","Hydrogen production","Fossil-fuel power station",2013,1
"8216","Electrical energy","Algebraic number field",2012,1
"8217","Time","Sums of powers",2015,1
"8218","Hydroelectricity","Geothermal power",2010,1
"8219","Wind power","Right- and left-hand traffic",2014,1
"8220","Electrical energy","Absorption band",2011,1
"8221","Buck–boost converter","Boost converter",2013,1
"8222","Natural frequency","Change control",2014,1
"8223","Operating point","Frequency band",2015,1
"8224","Vacuum deposition","Electroless plating",2011,1
"8225","Heat sink","Heat exchanger",2014,1
"8226","Peak power","Passivity (engineering)",2011,1
"8227","Turbine","Rotational speed",2008,1
"8228","Wind speed","Dental notation",2011,1
"8229","Pulp and paper industry","Fossil fuel",2011,1
"8230","Rotational speed","Mass flow",2011,1
"8231","Transducer","Grid cell",2010,1
"8232","Energy transformation","Energy level",2015,1
"8233","Heat exchanger","Combustion chamber",2008,1
"8234","Wind tunnel","Neutron temperature",2010,1
"8235","Stabilizer (chemistry)","Natural fiber",2011,1
"8236","Traditional method","Power iteration",2011,1
"8237","Linear motion","Duty cycle",2010,1
"8238","Test method","Sandwich panel",2011,1
"8239","Industry","Ball mill",2015,1
"8240","Logical model","Flow diagram",2011,1
"8241","Pressure measurement","Control System",2014,1
"8242","Energy storage device","Electronic System",2014,1
"8243","Mechanical energy","Air current",2007,1
"8244","Energy transformation","Channel capacity",2009,1
"8245","Wind power","Adjustable-speed drive",2011,1
"8246","Turbine","Light",2014,1
"8247","Linear motor","Component placement",2011,1
"8248","Solar irradiance","Renewable energy",2013,1
"8249","Pressure","Fluid dynamics",2009,1
"8250","Vortex generator","Stagnation point",2014,1
"8251","Wind power","Decision-making",2009,1
"8252","Wind power","Mathematical model",2011,1
"8253","Electrical network","Current collector",2013,1
"8254","Statistical significance","Fuel cell",2011,1
"8255","Pressure","Environmentalism",2013,1
"8256","Structural element","Storage tank",2009,1
"8257","Wind power","Renewable energy",2006,1
"8258","Surface area","Lubricant",2011,1
"8259","Molar mass distribution","Glass transition",2014,1
"8260","Stand-alone power system","Internal combustion engine",2009,1
"8261","Energy harvesting","Energy density",2011,1
"8262","Regression analysis","Ice",2012,1
"8263","Heat pipe","Cooling capacity",2014,1
"8264","Wind farm","High voltage",2015,1
"8265","Single-phase electric power","Biomass heating system",2011,1
"8266","Real line","Magnetic circuit",2006,1
"8267","Turbine blade","Condition number",2009,1
"8268","Charge cycle","Capacity loss",2011,1
"8269","Renewable resource","Electric generator",2011,1
"8270","Power electronics","Frequency changer",2010,1
"8271","Flow diagram","Electricity generation",2011,1
"8272","Motion system","Electrical energy",2012,1
"8273","Phenol formaldehyde resin","Colloidal silica",2015,1
"8274","Passivity (engineering)","Cruise control",2011,1
"8275","Light","Energy conservation",2011,1
"8276","Hydrogen production","Electric generator",2011,1
"8277","Weather station","Boundary layer",2011,1
"8278","Thermal power station","Motive power",2009,1
"8279","Wind speed","User equipment",2011,1
"8280","Surface energy","Stretch wrap",2008,1
"8281","Time signal","Acoustic wave",2010,1
"8282","Turbine blade","Electrical energy",2012,1
"8283","Tympanic cavity","Power module",2009,1
"8284","Electric energy consumption","Control System",2007,1
"8285","Wind power","Plant System",2013,1
"8286","Waste heat","Alternating current",2009,1
"8287","Main lobe","Electricity generation",2010,1
"8288","Three-dimensional space","Remote control",2012,1
"8289","Glass fiber","Artificial stone",2007,1
"8290","Functional group","Fluid parcel",2011,1
"8291","Liquidus","Composite material",2013,1
"8292","System configuration","Electric machine",2014,1
